compound,CRtm,CRd,CRx,QNtm,QNd,QNx,CNtm,CNd,CNx,NVEtm,NVEd,NVEx,AVEtmx,DVEtm,DVEd,DVEx,WFtm,WFd,WFx,Covh,ZRstm,ZRptm,ZRdtm,ZRsd,ZRpd,ZRdd,ZRsx,ZRpx,MPdtm,MPdd,MPdx,MPvtm,MPvd,MPvx,IEtm,IEd,IEx,EAtm,EAd,EAx,MENtm,MENd,MENx,SPCRtm,SPCRd,SPCRx,BCVRtm,BCVRd,BCVRx,Ztm,Zd,Zx,PENtm,PENd,PENx,Gtm,Gx,ARtm,ARd,ARx,DPtm,DPd,DPx,OXtm,OXd,OXx,Wtm,Wd,Wx,MRtm,MRd,MRx,MPtm,MPd,MPx,BPtm,BPd,BPx,HFtm,HFd,HFx,¥ñtm,¥ñd,¥ñx,target
Sc@CrS2,1.18,1.44,1.04,4,4,3,6,6,3,6,3,6,3,1.33,2.21,1.44,4.5,3.5,6.2,0.04,1.07,1.37,0.25,1.22,1.53,0.31,0.54,0.56,1.73,1.27,1.46,4.65,3.25,5.6,6.76651,6.56,10.36001,0.67584,0.188,2.0771029,3.721175,3.374,6.21855645,0.69,0.885,1.7,2.05,2.3,1.8,24,21,16,1.66,1.36,2.58,6,16,166,184,88,83,97,19.4,2,3,-2,52,44.96,32.07,129,164,127,2180,1814,388.4,2944,3103,718,20.5,16,1.73,7.14,2.99,1.96,0.28
Ti@CrS2,1.18,1.32,1.04,4,4,3,6,6,3,6,4,6,3,1.33,1.81,1.44,4.5,4.3,6.2,0.04,1.07,1.37,0.25,1.15,1.43,0.28,0.54,0.56,1.73,1.47,1.46,4.65,3.65,5.6,6.77,6.83,10.36,0.68,0.08,2.08,3.72,3.455,6.22,0.69,0.745,1.7,2.05,2.15,1.8,24,22,16,1.66,1.54,2.58,6,16,166,176,88,83,100,19.4,2,2,-2,52,47.87,32.07,129,147,127,2180,1941,388.4,2944,3560,718,20.5,18.7,1.73,7.14,4.51,1.96,0.28
V@CrS2,1.18,1.22,1.04,4,4,3,6,6,3,6,5,6,3,1.33,1.61,1.44,4.5,4.3,6.2,0.04,1.07,1.37,0.25,1.09,1.34,0.26,0.54,0.56,1.73,1.64,1.46,4.65,4.25,5.6,6.77,6.75,10.36,0.68,0.53,2.08,3.72,3.64,6.22,0.69,0.72,1.7,2.05,2.05,1.8,24,23,16,1.66,1.63,2.58,6,16,166,171,88,83,87,19.4,2,2,-2,52,50.94,32.07,129,135,127,2180,2183,388.4,2944,3680,718,20.5,22.8,1.73,7.14,6.11,1.96,0.24
Cr@CrS2,1.18,1.18,1.04,4,4,3,6,6,3,6,6,6,3,1.33,1.33,1.44,4.5,4.5,6.2,0.04,1.07,1.37,0.25,1.07,1.37,0.25,0.54,0.56,1.73,1.73,1.46,4.65,4.65,5.6,6.77,6.77,10.36,0.68,0.68,2.08,3.72,3.725,6.22,0.69,0.69,1.7,2.05,2.05,1.8,24,24,16,1.66,1.66,2.58,6,16,166,166,88,83,83,19.4,2,2,-2,52,52,32.07,129,129,127,2180,2180,388.4,2944,2944,718,20.5,20.5,1.73,7.14,7.14,1.96,1.34
Mn@CrS2,1.18,1.17,1.04,4,4,3,6,6,3,6,7,6,3,1.33,1.26,1.44,4.5,4.1,6.2,0.04,1.07,1.37,0.25,0.99,1.23,0.23,0.54,0.56,1.73,1.61,1.46,4.65,4.45,5.6,6.77,7.43,10.36,0.68,0,2.08,3.72,3.715,6.22,0.69,0.67,1.7,2.05,2.05,1.8,24,25,16,1.66,1.55,2.58,6,16,166,161,88,83,68,19.4,2,2,-2,52,54.94,32.07,129,127,127,2180,1519,388.4,2944,2334,718,20.5,13.2,1.73,7.14,7.47,1.96,0.92
Fe@CrS2,1.18,1.16,1.04,4,4,3,6,6,3,6,8,6,3,1.33,1.16,1.44,4.5,4.5,6.2,0.04,1.07,1.37,0.25,0.95,1.16,0.22,0.54,0.56,1.73,1.77,1.46,4.65,4.93,5.6,6.77,7.9,10.36,0.68,0.15,2.08,3.72,4.025,6.22,0.69,0.725,1.7,2.05,2.05,1.8,24,26,16,1.66,1.83,2.58,6,16,166,156,88,83,62,19.4,2,2,-2,52,55.85,32.07,129,126,127,2180,1811,388.4,2944,3134,718,20.5,13.8,1.73,7.14,7.87,1.96,0.6
Co@CrS2,1.18,1.16,1.04,4,4,3,6,6,3,6,9,6,3,1.33,1.14,1.44,4.5,5,6.2,0.04,1.07,1.37,0.25,0.92,1.1,0.21,0.54,0.56,1.73,1.75,1.46,4.65,5.1,5.6,6.77,7.88,10.36,0.68,0.66,2.08,3.72,4.27,6.22,0.69,0.67,1.7,2.05,2,1.8,24,27,16,1.66,1.88,2.58,6,16,166,152,88,83,55,19.4,2,2,-2,52,58.93,32.07,129,125,127,2180,1768,388.4,2944,3200,718,20.5,16.2,1.73,7.14,8.9,1.96,0.13
Ni@CrS2,1.18,1.15,1.04,4,4,3,6,6,3,6,10,6,3,1.33,2.9,1.44,4.5,5.1,6.2,0.04,1.07,1.37,0.25,0.96,1.22,0.195,0.54,0.56,1.73,1.75,1.46,4.65,5.2,5.6,6.77,7.64,10.36,0.68,1.16,2.08,3.72,4.4,6.22,0.69,0.62,1.7,2.05,2,1.8,24,28,16,1.66,1.91,2.58,6,16,166,149,88,83,49,19.4,2,2,-2,52,58.69,32.07,129,125,127,2180,1728,388.4,2944,3186,718,20.5,17.2,1.73,7.14,8.91,1.96,-0.43
Cu@CrS2,1.18,1.17,1.04,4,4,3,6,6,3,6,11,6,3,1.33,2.55,1.44,4.5,4.6,6.2,0.04,1.07,1.37,0.25,0.88,1.16,0.185,0.54,0.56,1.73,1.47,1.46,4.65,4.55,5.6,6.77,7.73,10.36,0.68,1.24,2.08,3.72,4.485,6.22,0.69,0.68,1.7,2.05,2,1.8,24,29,16,1.66,1.9,2.58,6,16,166,145,88,83,47,19.4,2,1,-2,52,63.55,32.07,129,128,127,2180,1357.8,388.4,2944,3200,718,20.5,13.1,1.73,7.14,8.92,1.96,-0.28
Zn@CrS2,1.18,1.25,1.04,4,4,3,6,6,3,6,12,6,3,1.33,2.21,1.44,4.5,4.2,6.2,0.04,1.07,1.37,0.25,0.82,1.06,0.175,0.54,0.56,1.73,1.32,1.46,4.65,4.1,5.6,6.77,9.39,10.36,0.68,0,2.08,3.72,4.695,6.22,0.69,0.88,1.7,2.05,2.1,1.8,24,30,16,1.66,1.65,2.58,6,16,166,142,88,83,38.7,19.4,2,2,-2,52,65.38,32.07,129,136,127,2180,692.7,388.4,2944,1180,718,20.5,7.35,1.73,7.14,7.14,1.96,-0.37
